,phigh_day_touch,plow_day_touch,phigh_night_touch,plow_night_touch,ret_distance_phigh_day_open,ret_distance_plow_day_open,ret_distance_phigh_night_open,ret_distance_plow_night_open
2017-08-17,0,0,0,0,-0.0035494508763778,0.03652689764184418,-0.003966583705438873,0.053105371486065346
2017-08-18,0,1,0,1,-0.011031353615263768,0.07910337491145718,0.015688139384279494,0.10398441558441562
2017-08-19,0,0,0,0,-0.0397567223053549,0.002082117926331298,-0.053686940167367976,-0.011808700051083388
2017-08-20,1,0,0,0,-0.013014997826055693,0.01690468103121504,0.0040341591208450265,0.056155877488310996
2017-08-21,0,1,0,1,-0.012406368766413873,0.06069737067771342,0.007485990396278781,0.18234999999999993
2017-08-22,1,0,1,0,-0.048474719963360044,0.004384397203243215,-0.08438276524919125,-0.03208667466272811
2017-08-23,1,0,0,0,-0.002467501772630489,0.03704358936557084,-0.0071466546222715924,0.033182293311399526
2017-08-24,1,0,1,0,-0.03343794605277611,0.011315823484641723,-0.05128302996692791,-0.008361631773731407
2017-08-25,1,0,0,1,-0.007962799813010039,0.03920677672408126,0.02183253466675936,0.04785858926362827
2017-08-26,0,1,1,0,-0.023403232452726425,0.008498777783556535,-0.030461363636363578,-0.004566519038440828
2017-08-27,1,0,0,1,-0.010668393061897237,0.013495399560973323,-0.005820772437806354,0.0522361281500482
2017-08-28,1,0,1,0,-0.017539353882658853,0.007568447011547148,-0.06554471070181711,0.0021096312781814174
2017-08-29,0,0,0,0,-0.025943839878572666,0.0017901021803667335,-0.030663731761739126,0.02015167538116983
2017-08-30,0,0,0,0,-0.013703057753713745,0.0066152003489142065,-0.029625060825173594,-0.005000437675070107
2017-08-31,0,0,1,0,-0.01273649118518498,0.0099159729078375,-0.03201292583348495,0.006466332107379665
2017-09-01,1,0,1,0,-0.02223291134058599,0.00801656066546542,-0.032851540434767505,0.09698227855077737
2017-09-02,0,0,0,1,-0.037974354643836174,0.03642051193528148,-0.0576402616464041,0.03365725758608577
2017-09-03,0,0,0,0,-0.027210810150441654,0.007603729329832297,-0.007575976764630597,0.11067909414261361
2017-09-04,0,0,0,1,-0.0664829863169764,0.029220562827158087,-0.06584225221033034,0.11435192894809887
2017-09-05,1,0,1,0,-0.06793326183558925,0.0023137824708800397,-0.09506718303181963,-0.03574180095311465
2017-09-06,0,0,1,0,-0.00931615078267239,0.017921597144179263,-0.035325638653549346,0.04083646711835246
2017-09-07,1,0,0,0,-0.004629105738079212,0.035707666376661854,0.01066435165976205,0.1789457746845938
2017-09-08,0,0,0,0,-0.017239551158523648,0.05012068965517236,-0.036852045126981786,0.027332134957084805
2017-09-09,0,0,0,0,-0.0071558139534884735,0.026346029944898892,0.0021666666666665642,0.12318600368324113
2017-09-10,0,1,1,0,-0.03918982021947242,0.003962028929642218,-0.05059027369227341,0.003372085084801949
2017-09-11,0,0,0,0,-0.0019313717667711295,0.02263852420386445,-0.032221435901870335,0.009348300740459326
2017-09-12,1,1,0,1,-2.3364485981818407e-06,0.059193724015046426,0.03631970053196255,0.13829521276595738
2017-09-13,0,0,0,0,-0.014019007719850431,0.027162620725659083,-0.014510393188079153,0.15907511045655373
2017-09-14,0,0,0,1,-0.018030265189356156,0.09770908087220521,-0.10269968879668055,0.2282534611288604
2017-09-15,1,0,0,0,-0.05523829574462488,0.0307206431237439,-0.09113924050632911,0.034385390674972524
2017-09-16,0,0,0,0,-0.033442799461641935,0.011478840904673507,-0.03732975871313667,0.026218769826980192
2017-09-17,1,0,1,0,-0.012862139527934677,0.005981511691136488,-0.10263872720217303,-0.008109376047181824
2017-09-18,0,0,0,0,-0.027623674501279966,0.012386943052136622,-0.013648245792431634,0.03813193209968387
2017-09-19,0,1,0,1,-0.013585548603084762,0.03370217520119244,-0.021269969946219536,0.0366544502617801
2017-09-20,1,1,0,1,-0.0030321857232319884,0.05531319514859959,0.03148168540850895,0.10840077824224024
2017-09-21,0,0,0,1,-0.016441770404813247,0.028875805999439303,-0.021333333333333333,0.04691132632539824
2017-09-22,0,1,0,0,-0.020638212653421785,0.014190340909090857,-0.06477015815298695,0.007632144197848651
2017-09-23,0,0,0,0,-0.005279683377308764,0.013950598689660337,-0.004247148098159934,0.040640285307334614
2017-09-24,0,0,0,0,-0.008721823977734307,0.01413207224408031,-0.0764522459276308,0.005636114911080687
2017-09-25,0,0,0,0,-0.018420388594499116,0.000565872730078661,-0.021873326309595896,0.0103764886170309
2017-09-26,0,1,0,0,-0.009656925031766201,0.006246110705146923,-0.053896576839038604,-0.0007692307692307692
2017-09-27,0,0,1,0,-0.03292517070829221,0.005384050880626276,-0.044183720930232505,0.0021970251158254617
2017-09-28,0,0,0,0,-0.011326276581592968,0.012652068126520682,-0.023002401414087777,0.05313498700661177
2017-09-29,1,1,1,0,-0.01497469429108823,0.02414039468326095,-0.03647175148371517,0.00912777929947472
2017-09-30,0,0,1,0,-0.01560273972602743,0.0009634336310303716,-0.010996421690063424,0.016891350081602977
2017-10-01,1,1,1,0,-0.029702031602708786,0.0015331419624216949,-0.057700865699322396,-0.02086104783599087
2017-10-02,1,0,0,1,-0.00841325815774689,0.008027522935779817,-0.016190879115713395,0.05123421354764634
2017-10-03,0,0,0,0,-0.01267015561704066,0.012548495743743412,-0.022410244683283786,0.03211009174311927
2017-10-04,0,1,0,0,-0.013130719463347073,0.006737265893253478,-0.03552479815455594,0.01727493917274939
2017-10-05,0,0,1,0,-0.010105625717566066,0.008418713450292346,-0.024000452796015443,0.004389408571461889
2017-10-06,1,0,0,0,-0.004215909090909132,0.015176264785273232,-0.003083048919226435,0.015974270502903013
2017-10-07,1,0,1,0,-0.04071286251937118,4.6156544537457324e-06,-0.0580217391304347,-0.02298954241881734
2017-10-08,0,0,1,0,-0.018892228424216402,0.009944751381215469,-0.027655436831646,0.004395604395604396
2017-10-09,0,0,1,0,-0.04394701000822082,0.0021586234541833157,-0.04373189769435948,-0.009550523711060627
2017-10-10,1,0,1,1,-0.018145161290322582,0.040467120598044234,0.003664302113259445,0.03397027600849257
2017-10-11,0,0,1,0,-0.0064753226906696095,0.010296693934262035,-0.1041296850784948,0.006215716052148952
2017-10-12,0,0,1,0,-0.02549726775956276,0.020998131675823935,-0.08486752865551286,-0.0055429157744467696
2017-10-13,0,0,0,0,-0.010025956047759058,0.036423913043478334,-0.010195519369410566,0.02527773247718197
2017-10-14,1,0,1,0,-0.022076271186440677,0.01490408125213272,-0.025758573527176972,0.06847024357362297
2017-10-15,0,1,0,0,-0.04460283929427625,0.004320711474721255,-0.04354442355551925,-0.01532266583589814
2017-10-16,1,0,1,0,-0.025367469869111706,0.0,-0.01800536418873169,0.024221993490214498
2017-10-17,0,1,0,0,-0.011461967189322499,0.011771206014220291,0.004178360622726719,0.10863148701356698
2017-10-18,0,1,1,0,-0.03795812455261268,0.00652683096706077,-0.05851313485113829,-0.020831436033994725
2017-10-19,0,0,0,0,-0.004223744292237475,0.012491071428571397,-0.05422018348623856,0.012491071428571397
2017-10-20,0,0,1,0,-0.02618330605564641,0.011896116882962403,-0.03580943121050066,-0.0020110667375599473
2017-10-21,1,1,0,1,-5.7181320333083444e-05,0.046239079115833595,0.009988448844884446,0.07001711529484986
2017-10-22,0,1,0,0,-0.00816833333333337,0.020390701757694966,-0.021218750000000036,0.05870098540658919
2017-10-23,0,1,0,0,-0.022100576551345164,0.016251557963193716,-0.014676793248945153,0.06490436356074723
2017-10-24,0,0,0,1,-0.0027889393637372706,0.046434862385321046,0.009392920353982249,0.07870088405857412
2017-10-25,0,1,1,0,-0.04120199457615253,0.006740371684927675,-0.07743784080444573,-0.030086725663716774
2017-10-26,0,0,1,0,-0.009398663025954209,0.027800937988535727,-0.01052675585284278,0.036039585237479896
2017-10-27,0,1,0,1,-0.008190124589894439,0.025293667820804274,-0.009895692664298638,0.02879203130356328
2017-10-28,0,0,0,0,-0.009244675154325026,3.521120561324199e-06,-0.05143119572478294,0.005669253418460578
2017-10-29,0,0,1,0,-0.03875519396175699,0.0067630904802351505,-0.04780049546464221,-0.013268656716417946
2017-10-30,0,0,0,0,-0.016365659199865042,0.000481678881845172,-0.055288161993769444,-0.005729508196721282
2017-10-31,0,0,1,0,-0.018628780195783044,0.009062153365117662,-0.04038330735013509,0.006143874585438291
2017-11-01,0,0,1,0,-0.03651919988319461,0.005767378342457925,-0.09604383561643834,-0.012897338858057508
2017-11-02,1,0,0,0,-0.02608244531688172,0.01698096632503654,-0.05449788602215533,0.0033193702152245507
2017-11-03,1,0,0,0,-0.006697725404220349,0.03568178278902244,-0.017135109484102788,0.05044486306332414
2017-11-04,1,0,1,0,-0.02218556634883877,0.0072926965626833205,-0.03626099272092481,-0.0006803278688523994
2017-11-05,1,0,0,1,-0.00895071542130371,0.027671307401270932,0.010736415988152927,0.05343472750316851
2017-11-06,0,0,0,1,-0.003243071997865762,0.038740225890529965,-0.003466004675980632,0.0394928271265034
2017-11-07,0,0,0,0,-0.012549125821349883,0.0047438398261500075,-0.0654219832069202,-0.008438214900383257
2017-11-08,1,1,1,1,-0.045343512629311196,0.11527589836114867,0.003476731601731577,0.05740555951532428
2017-11-09,0,0,0,0,-0.01264018260660958,0.011987537736438935,-0.021968678184208362,0.09403503380454818
2017-11-10,0,0,0,1,-0.0029262106959355542,0.09112535391630065,0.003974710134481189,0.11428571428571428
2017-11-11,0,1,0,1,-0.021509013397345438,0.02909180327868853,-0.0531734539969834,0.17886351387133542
2017-11-12,0,1,0,0,-0.01933067633980046,0.08573928571428577,-0.09217361182655538,0.0666930994615781
2017-11-13,1,0,0,0,-0.040237543847441944,0.025037156704361803,-0.05086028679218188,0.0053730983810985865
2017-11-14,1,0,1,0,-0.03636134166802765,0.005182334218739116,-0.10482497217237535,-0.031347574044334026
2017-11-15,0,0,1,0,-0.020691970402850125,0.01195172302473032,-0.05296487206328595,0.010032504239683406
2017-11-16,0,0,1,0,-0.06758922980588601,0.002719151635464055,-0.06805607710602075,-0.0007649979868473787
2017-11-17,0,0,0,0,-0.0063037997798552365,0.03801960524572794,0.009862774309618771,0.05578146052277017
2017-11-18,0,0,1,0,-0.023019211022009007,0.004863869525187368,-0.022886763278351478,-0.0013528828168197142
2017-11-19,1,0,1,0,-0.041013646184054196,0.002548200237059864,-0.05553440574972976,-0.020619813930098093
2017-11-20,0,0,1,0,-0.009085347458350329,0.008205642449219112,-0.018523809523809567,0.056838866811947136
2017-11-21,1,1,0,0,-0.006867478397580325,0.026991325898389058,-0.004188554648262409,0.022178095707942738
2017-11-22,0,0,0,1,-0.006273361642770679,0.012200296003946728,-0.006426150121065366,0.02190384521996609
2017-11-23,0,1,0,1,-0.0017118102698847797,0.028445283018867965,-0.023044569243637195,0.04154649681528667
2017-11-24,1,0,0,0,-0.012583030303030351,0.004338552582912046,-0.05055839291000678,0.006945611866501804
2017-11-25,0,0,1,0,-0.02170742857142863,0.004700698708100023,-0.0703670721112077,-0.0051901746948186415
2017-11-26,0,0,1,0,-0.03482714307576525,0.028592365539027876,-0.04622612975799341,0.00458215142919485
2017-11-27,1,0,1,0,-0.022145360824742215,0.013915538305143478,-0.04565952309085416,-0.008913849851104905
2017-11-28,0,0,0,0,-0.006341666339309279,0.002950383336332561,-0.12699081329872575,-0.003035855228916931
2017-11-29,1,1,0,1,-0.006276101947797527,0.25311032863849764,-0.020504587155963303,0.20627513897048863
2017-11-30,0,0,0,0,-0.09623696356487972,0.015197412732606181,-0.15093482309124776,-0.02782942430703634
2017-12-01,0,0,1,0,-0.03869124760427129,0.017292816985882694,-0.05870777479892766,-0.00818644067796615
2017-12-02,1,0,0,0,-0.021872398190045293,0.004683057056515445,-0.08564242605742829,0.0008621168626724225
2017-12-03,1,1,1,1,-0.014133615221987247,0.1102733333333334,0.0049887931034483446,0.07923254952786528
2017-12-04,0,0,1,0,-0.03437299167975473,0.017012940005429394,-0.05180038808740402,-0.01842707423580784
2017-12-05,1,0,0,0,-0.01606339814032127,0.004309742347295251,-0.09907352941176475,-0.01400890274324785
2017-12-06,0,0,1,0,-0.10536337625178824,0.0015046167471291668,-0.21610654967094953,-0.041607662835249005
2017-12-07,0,0,1,0,-0.12941176470588237,0.024220744483913835,-0.1397844462565803,0.056011416339636105
2017-12-08,0,0,0,0,-0.06357126612699984,0.03008920880431537,-0.04780999999999994,0.11760209508579152
2017-12-09,0,1,0,1,-0.05660905960980215,0.11483446350219391,-0.10489620230462267,0.12988761319534287
2017-12-10,1,0,1,0,-0.040771317267298234,0.06566713780918731,-0.09645934447839892,-0.015204414838035495
2017-12-11,0,0,1,0,-0.06439610761305095,0.008326948393647853,-0.03719564455466253,0.029606299212598424
2017-12-12,0,1,0,0,-0.028146982338314048,0.01347687499999995,-0.019966759337604303,0.10561917723037983
2017-12-13,0,1,0,0,-0.036555498071272514,0.05563335146576475,-0.046516266342353244,0.01488932038834957
2017-12-14,1,0,1,0,-0.051517767988252576,0.01082378716744913,-0.1024451114446112,-0.028474495508444272
2017-12-15,0,0,0,0,-0.016805602240896333,0.017982598607888655,-0.06748034006376193,0.020942977927296266
2017-12-16,0,0,1,0,-0.04452633195148165,0.006415094339622641,-0.05705834934450177,-0.0069680851063829785
2017-12-17,0,1,0,1,-0.025852619195988774,0.06441312127459967,-0.018307772020725397,0.11254740169982586
2017-12-18,0,0,0,0,-0.02538258575197889,0.020375465464469965,-0.020212201591511936,0.13306748466257667
2017-12-19,0,1,0,1,-0.022557929038920767,0.20282642854146052,0.003081767572310964,0.17871087533156493
2017-12-20,0,0,0,0,-0.045373011196228615,0.023366201035620128,-0.0640965943557006,0.15532876907716447
2017-12-21,0,0,0,0,-0.028621585366009027,0.06621361327558295,0.01666802222402966,0.3912964145607153
2017-12-22,0,1,0,0,-0.1421782540465898,0.021629931200771293,-0.15939264214046822,-0.03167624428078516
2017-12-23,1,0,0,1,-0.011409395973154362,0.16424280746127096,0.06584737036712764,0.2654639175257732
2017-12-24,0,1,0,0,-0.06953699633699637,0.055762261014131315,-0.11183076923076925,-0.0005649984261882507
2017-12-25,1,0,0,0,-0.02113271162123387,0.023584877353536857,-0.14646838055920436,0.008306362225670572
2017-12-26,0,0,1,0,-0.007227414330218069,0.03252579370479382,-0.03418888898991088,0.1046100519930676
2017-12-27,0,1,0,1,-0.06457362453360817,0.02524480375207301,-0.05791702418715053,0.1071201520912547
2017-12-28,0,1,0,0,-0.041602194596847046,0.04624488248673232,-0.07883519124224021,-0.003612274368231094
2017-12-29,1,0,0,0,-0.01358315874839493,0.039231755072979727,0.013692760185709266,0.2422136170212766
2017-12-30,0,0,0,0,-0.09961969696969694,0.007033547675353623,-0.15288524590163932,-0.043534594454521826
2017-12-31,0,0,1,0,-0.015594183960125605,0.03216415510137679,0.0009016865011163217,0.0847850980392157
2018-01-01,0,1,1,0,-0.06007220216606498,0.006027820710973725,-0.0631067891292176,0.009928611437375548
2018-01-02,1,0,1,0,-0.12107805026532475,0.007182848255943107,-0.11155076315232472,-0.03886996466431097
2018-01-03,0,0,0,0,-0.003068299551045395,0.023174971031286212,-0.017604712041884817,0.07852829852479222
2018-01-04,1,1,0,0,-0.0417289179924875,0.004791343916416742,-0.12303212121212125,-0.008906164383561689
2018-01-05,0,0,1,0,-0.042339883466928824,0.008522378908645004,-0.03806961290620647,0.027342718008195564
2018-01-06,0,0,1,0,-0.014635600383360649,0.018648638543856413,-0.00737699475313163,0.07252253968253966
2018-01-07,0,0,0,1,-0.030303030303030304,0.024983984625240232,-0.006211180124223602,0.24882922260380894
2018-01-08,0,0,0,0,-0.030776324395029413,0.03344890925802206,-0.04390774193548385,0.05769589002965524
2018-01-09,0,1,0,1,-0.0014676450967311542,0.08858181818181818,0.018361531951024974,0.13987104104617137
2018-01-10,0,0,1,0,-0.03635390695772774,0.017749304132167226,-0.01364936830387063,0.26530789473684213
2018-01-11,0,0,0,0,-0.001243678682688593,0.11594080000000002,-0.011376506224760444,0.08081265927336091
2018-01-12,1,0,1,0,-0.05505689448017528,0.009032234693199885,-0.08299039780521263,-0.03256150506512301
2018-01-13,1,0,0,0,-0.010452961672473868,0.01988195225516008,-0.009728372676871579,0.12974572765172002
2018-01-14,0,0,0,0,-0.048676522843378825,0.012713743120688353,-0.0831558478286651,-0.006295354580503677
2018-01-15,1,1,0,1,-0.004154609929078009,0.08847542030747098,0.06285017901613035,0.3220580592191985
2018-01-16,0,0,0,1,-0.00802565749904303,0.2851156613171002,0.043553053405270166,0.2846976191477261
2018-01-17,0,0,1,0,-0.11925530284676217,0.08289291559873464,-0.13392323479941615,-0.014121259222276687
2018-01-18,1,0,0,0,-0.03993630220685612,0.06005284289112675,-0.04417295464179741,0.08822200772200768
2018-01-19,0,0,0,0,-0.0022458139133437285,0.05062073979823681,-0.10526470588235297,0.0049596059438768445
2018-01-20,0,0,1,0,-0.01603175814947706,0.05637496762602901,0.018893280632411066,0.16642533936651585
2018-01-21,0,0,0,1,-0.05012744265080714,0.0196078431372549,-0.06257991757746505,0.10256736459772571
2018-01-22,0,0,0,1,-0.03869581190301247,0.05721477459132309,-0.08178963066935693,0.05670671378091876
2018-01-23,1,0,0,0,-0.0038545161817616688,0.07829147640791477,-0.020351791801204406,0.07952380952380952
2018-01-24,1,0,0,0,-0.028146880758094312,0.01971353552910669,-0.06086458850013356,0.011506628639998686
2018-01-25,0,0,0,0,-0.038157086441421614,0.000840105926399482,-0.05864467920639004,0.06294642207707202
2018-01-26,0,1,0,0,-0.013953426362101127,0.02713470043783266,-0.04526592082616177,0.023178749922758993
2018-01-27,0,0,1,0,-0.003431759656652323,0.020212653778558912,-0.05177883044756612,0.017708625525946743
2018-01-28,0,0,0,0,-0.010165016941694867,0.010893617021276596,-0.0022671165620466527,0.06629082862413659
2018-01-29,0,0,0,0,-0.008870336551004436,0.022152466367713005,0.013279230131832152,0.11666870789957134
2018-01-30,0,0,0,1,-0.016513207547169895,0.06725634725634717,-8.536474244318083e-05,0.07473814432989681
2018-01-31,0,0,0,0,-0.025391388485728115,0.006754622688655665,-0.02482336106759812,0.11774608251003435
2018-02-01,0,0,0,1,-0.05242986147504025,0.035172020537105046,-0.016419109663409266,0.13093100891133858
2018-02-02,0,1,1,0,-0.00733040001989674,0.07987295612280908,-0.029557275149054967,0.11556689755741889
2018-02-03,1,0,1,0,-0.015624389713512411,0.03358457104854799,-0.004590093936806148,0.12349397590361445
2018-02-04,0,0,0,1,-0.009900990099009901,0.07187894073139975,0.01398100873216595,0.18599134923957025
2018-02-05,0,0,0,1,-0.03282347935243815,0.10133886792452829,-0.02219646207451087,0.2160596399006001
2018-02-06,1,0,1,0,-0.09725945671490227,0.048781890576611114,-0.16094974044360547,-0.005345447069304833
2018-02-09,0,0,1,0,-0.05777156852056454,0.0012445223697521433,-0.07530184937203419,0.032402709359605986
2018-02-10,0,1,0,0,-0.04479701353243117,0.007753846153846154,-0.036802202132727946,0.059725387722561134
2018-02-11,0,1,0,0,-0.009188029092643315,0.0367985028072365,-0.060048728511608564,0.019039373709330128
2018-02-12,0,0,1,0,-0.0360184670152409,0.0052470997679813875,-0.028888266278157618,0.037627829002514615
2018-02-13,0,1,0,0,-0.02086189111747856,0.00968916203758416,-0.08631229946524069,-0.0067468820522241756
2018-02-14,0,0,1,0,-0.023453043331647223,0.01058233369683761,-0.06630919168135148,-0.006960994427775303
2018-02-15,0,0,1,0,-0.034259884931314266,0.005800904103041208,-0.04198047730537615,0.02317297744672044
2018-02-16,0,0,0,0,-0.012366228349309163,0.022503801317790166,-0.07270790069048189,-0.006206896551724138
2018-02-17,0,0,1,0,-0.027828083244585532,0.010867528574105303,-0.04293063686357992,0.07043650793650794
2018-02-18,0,1,0,0,-0.02850485379756669,0.028691385768519616,-0.06088888888888889,0.022353396555060964
2018-02-19,0,0,1,0,-0.030762233388875102,0.018394449039610298,-0.04882832618025754,-0.006709394048045927
2018-02-20,1,1,1,1,-0.017480046258233316,0.07106098023437563,0.024412532521587354,0.12294950019976483
2018-02-21,0,0,0,1,-0.02317922047752292,0.022358823529411716,-0.04622332952849249,0.07383997528575836
2018-02-22,0,0,0,1,-0.022415325367828576,0.029854332826034693,-0.051269765213224724,0.03446222070826174
2018-02-23,1,0,0,0,-0.026796264458398587,0.020985519007887275,-0.04118807617817318,0.053225198827961576
2018-02-24,0,0,0,1,-0.0020882132304537162,0.04548652694610772,-0.0070691581192241885,0.051332258064516065
